"_DRAFT_NOTICE_zh_Hans_CN","草稿 v1.1.0 — 在生产环境中使用之前需经母语者审阅。"

"Save","保存"
"Save and Continue Edit","保存并继续编辑"
"Edit","编辑"
"Delete","删除"
"Active","启用"
"Inactive","停用"
"Yes","是"
"No","否"
"Restore","恢复"
"Country","国家/地区"
"Region / State","地区 / 州"
"Region","地区"
"City","城市"
"Postcode","邮政编码"
"Postcode From","邮编从"
"Postcode To","邮编至"
"Weight","重量"
"Qty","数量"
"Subtotal","小计"
"Cart Weight From","购物车重量从"
"Cart Weight To","购物车重量至"
"Item Qty From","商品数量从"
"Item Qty To","商品数量至"
"Subtotal From","小计从"
"Subtotal To","小计至"
"Shipping Table Rates","运费表"
"Shipping Methods","配送方式"
"Add New Method","添加新方式"
"Method Name","方式名称"
"Code","编码"
"Sort Order","排序"
"Priority","优先级"
"Shipping Type","运输类型"
"Standard","标准"
"Fragile","易碎"
"Oversized / Bulky","超大 / 笨重"
"Live Cart Simulator","实时购物车模拟器"
"Simulate This Cart","模拟此购物车"
"Method","方式"
"Result","结果"
"Cost","费用"
"Action","操作"
"MATCH","匹配"
"NO MATCH","不匹配"
"Version History","版本历史"
"When","时间"
"Label","标签"
"By","操作人"
"Import / Export Rates (CSV)","导入 / 导出运费 (CSV)"
"Download CSV","下载 CSV"
"Upload + Import","上传 + 导入"
"Export","导出"
"Import Mode","导入模式"
"Module Status","模块状态"
"License","许可证"
"License Key","许可证密钥"
"Production Environment","生产环境"
"Enable Module","启用模块"
"General Settings","常规设置"
"Customer Group","客户组"
"Free Shipping Compatible","兼容免运费"
"Minimum Rate","最低费率"
"Maximum Rate","最高费率"
"Method Scope","方式范围"
"Subtotal Basis","小计基准"
"Use Price After Discount","使用折扣后价格"
"Use Price Including Tax","使用含税价格"
"Ship-for-Free Overrides","免运费例外"
"Visible in Store Views","在店铺视图中可见"
"Available to Customer Groups","可用于客户组"
"Volumetric / Dimensional Weight","体积 / 尺寸重量"
"Use Volumetric Weight","使用体积重量"
